CustomerID,Recency,T,Frequency,MonetaryValue
200,203,587,7,207.3525
201,131,579,5,249.91166666666666
202,127,577,5,208.67166666666665
203,331,585,10,279.07272727272726
204,405,584,13,206.475
205,29,578,1,261.365
206,60,587,2,187.97
207,394,584,13,204.21857142857144
211,60,583,2,346.4766666666667
212,181,574,7,201.59875
213,219,581,7,229.3025
217,130,584,4,372.05
219,56,580,2,336.48333333333335
223,57,577,2,194.0233333333333
224,23,575,1,265.28499999999997
226,69,582,2,303.56
229,91,577,3,199.2
230,165,580,6,242.89714285714285
231,23,582,1,373.95000000000005
234,23,589,1,367.51
235,115,582,4,218.02999999999997
241,61,577,2,56.17666666666667
242,18,584,1,176.685
244,97,589,4,253.148
246,118,576,4,198.68400000000003
247,99,585,3,361.0025
248,173,584,6,252.06857142857143
249,304,584,10,256.6027272727273
252,57,584,2,261.62
253,131,577,5,218.78166666666667
254,251,576,8,263.3544444444444
255,107,587,4,266.938
257,29,579,1,245.14499999999998
260,76,590,2,178.23666666666665
261,130,576,4,342.184
262,26,588,1,222.775
263,35,589,1,252.66500000000002
265,54,579,2,384.51666666666665
267,68,583,2,209.72
268,26,583,1,274.115
269,153,578,6,255.92857142857142
270,181,579,6,210.60142857142858
272,50,585,2,292.63
273,38,572,1,191.75
274,25,582,1,145.26999999999998
275,156,580,5,222.12166666666667
276,62,579,2,314.65000000000003
277,132,578,5,341.075
278,26,587,1,345.63
281,194,582,6,256.98285714285714
284,31,584,1,356.31
286,32,578,1,463.885
287,211,584,7,266.58500000000004
288,138,588,5,207.01500000000001
289,89,573,3,177.47
290,60,588,2,217.59666666666666
291,34,582,1,170.10500000000002
292,585,586,20,218.68904761904764
293,240,581,9,170.143
294,87,580,3,257.7975
295,30,575,1,332.98
296,22,568,1,360.5
297,99,589,3,192.7625
299,317,586,10,274.0290909090909
300,140,585,5,296.625
301,45,588,2,388.6133333333334
303,198,592,7,203.75375
305,46,589,2,255.59666666666666
306,79,588,3,302.65
310,41,578,1,82.405
311,95,584,3,265.6875
312,142,587,5,197.34666666666666
313,109,586,4,163.994
314,114,588,4,285.186
315,91,589,3,315.955
316,36,577,1,154.27
317,57,579,2,324.2966666666667
318,176,582,6,220.75714285714284
319,247,570,8,288.50555555555553
320,83,584,3,274.785
321,101,586,3,332.34
322,101,583,3,160.005
323,181,584,7,252.79375000000002
324,56,583,2,240.61666666666667
327,29,582,1,331.335
330,25,582,1,243.05499999999998
334,293,583,9,207.483
336,29,568,1,272.21000000000004
337,141,584,5,290.83
338,115,576,4,268.452
339,258,583,8,259.6311111111111
340,72,573,3,186.9475
342,125,575,4,273.432
343,122,584,4,183.44400000000002
346,31,588,1,110.7
347,99,581,3,314.1875
348,201,585,8,200.48666666666665
349,176,577,7,228.53875
350,166,596,6,253.19285714285712
352,56,580,2,271.42
353,33,576,1,280.53999999999996
354,118,578,4,283.294
356,216,575,7,232.215
357,214,584,7,119.41749999999999
358,29,581,1,303.305
362,398,578,12,316.8607692307693
363,272,568,9,179.79500000000002
364,175,574,6,250.3385714285714
366,64,579,2,203.75
367,143,582,5,262.8933333333334
368,79,581,2,311.6366666666667
369,327,585,11,267.01166666666666
370,159,581,6,195.38285714285715
371,144,583,5,195.005
372,29,578,1,266.85
373,145,582,5,135.97833333333332
374,119,572,5,261.4533333333333
376,189,569,6,161.16428571428574
380,61,584,2,197.82000000000002
381,60,589,2,172.29
383,254,592,8,176.89333333333332
384,36,583,1,74.69
386,199,590,7,255.16375
387,174,581,6,253.31571428571428
388,52,590,2,275.0
389,115,582,4,193.772
391,36,590,1,137.84
395,220,579,7,284.835
396,190,585,6,130.60714285714286
397,58,581,2,294.7366666666667
398,144,577,5,280.215
399,80,584,3,164.39
400,38,580,1,331.97
401,31,590,1,333.945
403,76,582,3,186.31
404,276,582,10,279.76454545454544
405,121,585,4,382.02
406,152,572,5,311.28833333333336
407,172,582,6,271.63
409,65,584,2,328.44666666666666
410,24,580,1,296.32
411,36,587,1,249.505
412,164,576,6,408.0642857142857
413,123,573,4,260.71799999999996
414,51,587,2,186.9666666666667
418,62,586,2,359.4266666666667
419,121,581,4,327.566
422,194,580,6,431.34285714285716
423,29,583,1,70.925
424,118,580,4,383.202
425,31,591,1,216.34499999999997
426,428,587,15,262.2875
427,315,589,11,298.4633333333333
428,42,589,1,155.12
429,100,581,4,218.842
430,99,585,3,328.8625
431,25,585,1,365.255
433,344,588,11,279.67583333333334
434,368,580,11,239.11916666666664
436,193,580,6,230.5842857142857
439,114,584,4,239.504
440,53,581,2,166.24666666666667
441,39,580,1,110.105
442,140,579,5,275.6166666666667
443,38,575,1,234.15499999999997
444,82,589,3,261.5525
446,143,569,5,230.48
447,116,584,3,231.01
448,363,578,12,212.83692307692309
449,169,582,5,260.585
450,81,580,3,313.72
451,94,584,3,361.3775
452,32,575,1,393.155
454,157,583,5,179.355
455,71,576,2,326.20666666666665
457,69,587,3,213.3975
458,118,582,4,364.998
460,134,588,5,228.99833333333333
461,188,582,7,231.0675
463,103,586,3,318.35249999999996
465,110,578,3,370.9425
466,38,581,1,319.06
467,41,573,1,35.019999999999996
468,30,583,1,186.01
472,21,588,1,100.295
473,56,569,2,190.4033333333333
476,52,583,2,186.74
477,240,581,8,307.00111111111113
478,31,575,1,79.91499999999999
479,197,589,7,319.3325
480,137,590,4,150.738
481,133,581,4,241.702
484,22,583,1,75.955
485,278,590,9,264.46999999999997
486,26,586,1,215.26
488,53,579,2,267.81
489,91,590,3,218.7875
490,27,589,1,196.53
491,30,578,1,273.355
492,23,576,1,321.59000000000003
493,166,590,5,257.34666666666664
499,32,580,1,158.06
500,172,579,6,324.5228571428571
501,119,590,4,397.098
502,74,582,2,246.6933333333333
504,88,587,3,280.6175
505,133,581,5,298.3633333333333
506,68,579,2,321.7733333333333
507,55,577,2,259.56666666666666
509,80,578,3,135.1125
510,119,583,4,377.054
512,36,579,1,274.1
513,23,568,1,388.4
514,28,584,1,359.28
515,240,575,8,249.68555555555557
516,376,574,11,192.70083333333332
517,36,574,1,172.495
518,156,593,5,255.57666666666668
519,62,580,2,79.72333333333334
520,65,581,2,346.49333333333334
521,87,586,3,369.8
523,25,594,1,374.275
524,25,581,1,161.47
525,121,588,4,149.41
527,50,587,2,261.60999999999996
531,336,587,11,292.11833333333334
532,34,585,1,188.91000000000003
533,268,582,9,223.327
534,37,578,1,190.715
536,53,588,2,112.13666666666667
539,241,586,7,302.8925
542,25,591,1,53.364999999999995
544,177,586,6,235.20000000000002
545,62,581,2,336.36
546,24,587,1,170.97
547,29,571,1,138.9
548,333,582,11,215.18916666666667
550,50,582,2,249.29333333333332
551,22,583,1,339.27
553,33,591,1,97.14
554,35,583,1,341.045
555,26,584,1,204.5
556,68,581,2,166.64666666666668
557,138,586,5,193.28
560,113,582,3,315.23749999999995
561,64,576,2,327.17
562,24,586,1,358.64
563,23,577,1,120.155
564,170,592,5,181.27333333333334
565,184,581,6,242.74714285714285
566,103,590,3,137.76250000000002
567,226,587,7,235.31625
569,109,580,4,210.82
570,158,581,5,169.34
571,20,575,1,301.64
572,36,583,1,234.92000000000002
573,40,580,1,312.79499999999996
574,31,583,1,34.355
575,360,583,12,213.12769230769229
576,34,580,1,244.655
577,23,584,1,144.06
579,182,585,5,198.59
580,30,594,1,357.6
581,31,578,1,291.74
582,123,585,4,352.61800000000005
583,56,591,2,171.26
586,159,584,5,252.77666666666664
587,181,580,6,261.91857142857145
588,85,584,3,337.2575
589,326,581,10,281.27272727272725
590,352,580,12,209.23999999999998
592,29,583,1,312.71000000000004
593,113,574,3,285.79
594,267,583,9,302.994
595,65,581,2,309.58666666666664
596,234,578,8,106.73222222222222
597,236,580,8,197.57444444444442
598,130,584,4,210.53599999999997
599,65,579,2,170.92999999999998
601,266,586,9,228.93699999999998
602,79,572,3,167.75750000000002
603,133,582,5,305.25166666666667
604,22,573,1,276.725
605,26,587,1,199.865
609,35,582,1,363.7
610,77,589,2,240.50666666666666
612,53,579,2,122.50333333333333
613,27,583,1,259.21999999999997
614,40,580,1,424.57
615,151,578,5,249.225
616,226,577,8,261.7477777777778
618,188,574,6,214.69142857142856
619,158,583,5,308.21666666666664
620,104,580,3,198.755
621,28,579,1,272.185
623,127,586,4,183.59199999999998
624,30,587,1,335.13
626,22,580,1,399.52
627,179,577,6,286.3728571428572
630,279,580,8,148.89
631,203,577,7,246.4175
632,91,588,3,258.82
633,230,577,8,215.64888888888888
634,199,581,7,183.90375
636,204,592,7,161.55124999999998
637,221,587,8,302.88444444444445
638,54,578,2,164.62
640,261,587,9,250.82599999999996
641,95,586,3,179.39000000000001
643,155,583,4,372.634
644,32,586,1,317.59
646,31,579,1,352.115
647,223,583,8,171.99444444444444
648,206,569,7,249.0525
650,25,587,1,412.855
651,64,585,2,135.15333333333334
652,106,585,4,237.01800000000003
655,291,580,9,265.90299999999996
656,36,581,1,194.42000000000002
657,55,567,2,155.92
658,131,584,4,294.23199999999997
659,80,584,3,213.6
660,65,577,2,295.1766666666667
662,128,580,4,153.432
663,86,582,3,268.4175
665,66,581,2,328.8066666666667
667,189,589,6,212.62142857142857
668,146,573,5,269.2083333333333
670,33,581,1,86.235
672,20,587,1,170.895
673,122,579,4,257.46999999999997
675,89,583,3,309.585
676,25,574,1,201.62
677,32,586,1,60.69
679,95,587,3,293.47249999999997
680,26,584,1,296.96
682,271,584,9,250.19300000000004
683,40,582,1,229.975
684,86,575,3,383.365
685,180,578,6,256.30428571428575
686,186,580,6,362.7528571428571
687,100,583,4,292.344
689,97,589,3,281.06
690,252,588,9,266.834
692,58,582,2,197.39999999999998
693,351,587,12,322.3107692307692
699,68,584,2,366.6266666666667
700,219,582,7,330.9825
701,214,583,8,220.5922222222222
702,58,588,2,163.79
703,42,584,1,391.48
704,89,583,3,329.88
705,83,573,3,268.3925
706,79,579,2,263.78
707,88,590,3,170.465
709,27,579,1,380.84000000000003
711,64,585,2,422.1333333333334
712,320,590,11,162.54166666666666
713,68,583,2,377.26666666666665
714,253,585,8,223.4477777777778
715,263,573,8,224.4477777777778
716,355,571,12,307.45153846153846
718,150,582,5,292.1116666666667
719,101,578,3,274.03499999999997
720,56,589,2,134.08666666666667
721,248,591,8,230.67555555555555
723,40,587,1,450.22
724,194,587,7,200.41125
725,34,587,1,259.03
727,28,585,1,374.54999999999995
728,76,580,2,317.76
729,353,579,12,327.0869230769231
730,23,580,1,252.37
731,110,576,3,327.3075
733,44,587,1,324.57500000000005
734,176,578,6,235.96857142857147
736,182,581,6,299.68285714285713
741,287,578,10,254.92181818181817
742,32,584,1,424.6
743,115,581,4,348.496
745,272,584,10,306.8218181818182
746,159,579,5,268.99
747,135,590,5,247.26166666666666
748,155,574,5,225.015
749,66,579,2,233.85333333333335
750,32,581,1,214.13
751,80,583,3,235.15250000000003
753,117,581,4,151.632
754,34,584,1,423.51
759,189,584,6,307.1242857142857
760,81,583,3,315.5225
762,60,580,2,263.53000000000003
763,203,586,7,237.35
764,455,578,14,318.67133333333334
765,182,575,6,325.5585714285714
766,250,570,8,244.5377777777778
767,73,577,3,331.055
768,34,577,1,364.59000000000003
769,92,581,3,219.455
770,216,572,8,173.38333333333333
771,71,574,3,208.72
772,186,585,6,305.14142857142855
774,89,580,3,200.2175
776,72,591,2,151.17
778,24,582,1,343.31
779,300,588,10,269.2609090909091
781,28,583,1,226.055
782,26,573,1,247.515
783,138,583,5,323.79833333333335
784,33,572,1,216.57
785,30,574,1,356.72
786,212,580,7,308.1025
788,35,578,1,303.925
789,35,589,1,287.71500000000003
790,132,585,5,256.94666666666666
791,79,570,3,354.505
793,241,591,8,215.12333333333333
794,111,585,4,262.412
795,70,585,2,326.72
796,31,586,1,294.285
797,21,582,1,149.65
798,186,583,6,312.2257142857143
800,38,572,1,222.25
801,80,570,3,174.23
802,99,584,4,189.638
804,25,571,1,302.77
805,30,570,1,183.955
806,202,577,7,233.28625
807,162,580,5,289.03833333333336
809,153,590,5,171.08166666666668
810,125,579,4,340.76
811,68,584,2,131.13666666666666
812,32,580,1,213.005
814,190,575,7,252.33124999999998
815,194,582,6,247.05714285714288
816,69,571,2,264.95666666666665
817,216,579,7,358.59000000000003
819,48,580,2,245.28666666666666
820,59,584,2,198.07000000000002
822,155,583,5,360.73333333333335
823,259,586,9,229.71999999999997
824,69,587,2,334.6566666666667
827,34,584,1,297.69
828,55,573,2,209.95333333333335
829,255,585,8,311.3155555555556
830,59,594,2,370.78999999999996
831,373,580,12,218.02307692307693
832,219,581,7,270.02875
833,311,586,10,180.12545454545455
834,57,576,2,296.12666666666667
836,41,587,1,294.19
837,24,593,1,312.48
839,36,584,1,418.36
840,64,589,2,174.24666666666667
843,274,581,9,331.5
844,28,574,1,295.025
845,127,581,4,245.0
847,28,591,1,190.64999999999998
848,82,578,3,193.725
849,243,585,9,291.973
851,160,590,5,226.78333333333333
853,161,576,5,247.04166666666666
854,32,588,1,172.60500000000002
859,53,578,2,316.93
860,104,582,4,253.72999999999996
861,210,575,7,351.61125
862,26,586,1,85.69500000000001
863,233,569,8,265.24333333333334
864,28,581,1,217.01999999999998
865,55,583,2,108.59333333333332
866,30,580,1,200.97000000000003
868,20,575,1,165.51500000000001
869,63,581,2,229.25333333333333
870,105,574,4,336.198
873,161,573,5,367.09166666666664
874,213,568,7,237.3475
875,297,584,10,232.00636363636366
877,231,587,8,196.1788888888889
878,40,584,1,111.765
880,251,585,8,265.44666666666666
881,273,579,8,246.84333333333336
882,121,590,4,312.336
884,163,581,5,321.6566666666667
887,32,580,1,171.74
888,325,585,10,301.33818181818185
890,27,576,1,311.05
892,228,587,7,209.13750000000002
893,208,591,7,200.74625
894,188,584,7,308.41875
895,55,579,2,374.7
896,207,584,8,184.2511111111111
899,33,582,1,106.99000000000001
900,116,578,4,187.26399999999998
901,128,588,4,179.694
903,218,583,7,272.4875
904,156,576,5,248.98166666666665
905,178,585,6,256.58714285714285
906,89,591,3,341.7325
907,26,572,1,264.04499999999996
908,33,584,1,131.34
909,167,587,5,203.59166666666667
910,93,584,3,253.675
912,35,584,1,93.09
914,59,589,2,302.49333333333334
915,63,583,2,345.81666666666666
916,59,576,2,152.70000000000002
919,29,584,1,118.815
920,200,577,6,237.78571428571428
922,96,574,3,120.8775
923,33,589,1,233.85500000000002
924,246,580,8,199.45666666666668
925,345,575,11,244.6641666666667
926,28,575,1,256.01
929,230,586,8,291.59555555555556
930,111,566,4,357.822
931,55,575,2,307.2233333333333
934,163,569,5,318.9533333333333
936,55,581,2,393.1566666666667
937,30,582,1,492.94500000000005
938,58,587,2,360.99
939,21,577,1,290.655
940,124,585,4,334.37
941,175,587,6,314.9614285714286
942,93,585,3,186.155
943,55,577,2,204.49
944,27,585,1,369.555
945,137,585,5,213.30999999999997
946,22,579,1,172.305
947,34,581,1,325.045
948,71,586,3,352.1
949,364,579,12,204.18
953,21,571,1,183.685
954,139,590,5,254.68999999999997
955,24,580,1,146.79500000000002
956,80,577,3,204.42499999999998
957,137,580,4,299.90999999999997
959,65,581,2,428.74333333333334
960,261,586,9,300.93600000000004
963,361,582,12,293.0423076923077
964,61,586,2,141.79333333333332
967,129,584,4,291.0
969,28,577,1,260.57
970,112,591,4,317.76
972,68,587,2,267.2266666666667
975,239,587,8,291.78666666666663
976,80,580,3,214.0575
978,242,588,8,255.24333333333334
979,135,578,4,262.4
980,32,582,1,226.765
983,217,581,7,221.76375000000002
985,75,579,2,212.25666666666666
986,31,580,1,221.39999999999998
987,114,581,4,174.894
989,163,585,6,256.99142857142857
990,28,580,1,165.695
991,103,581,3,191.4475
994,35,586,1,290.345
995,301,581,10,264.87272727272733
996,188,573,6,257.4371428571429
997,73,572,2,381.0733333333333
998,180,583,6,204.51571428571427
999,127,580,4,316.63800000000003
1000,144,581,5,194.005
