CustomerID,PurchaseDate,MonetaryValue
27,2021-01-23,19.83
27,2021-02-17,167.82
28,2021-02-01,187.91
28,2021-03-02,326.5
29,2021-01-27,149.7
30,2021-02-01,245.76
30,2021-03-08,270.97
30,2021-04-06,35.39
30,2021-04-28,174.94
30,2021-05-29,75.86
31,2021-01-29,399.68
31,2021-02-21,108.8
31,2021-03-17,90.19
31,2021-04-17,90.49
32,2021-01-28,399.07
32,2021-02-25,313.84
32,2021-03-29,271.4
32,2021-04-30,448.01
33,2021-01-28,424.76
34,2021-02-02,297.25
34,2021-02-28,257.89
34,2021-04-08,309.61
34,2021-05-07,18.87
35,2021-01-30,492.57
35,2021-03-11,421.06
36,2021-01-28,173.41
37,2021-01-26,96.43
38,2021-02-03,22.44
38,2021-02-26,86.51
38,2021-03-29,360.83
38,2021-04-23,332.87
38,2021-05-17,23.28
38,2021-06-17,118.77
38,2021-07-16,123.23
38,2021-08-13,339.23
38,2021-09-24,19.66
38,2021-10-26,61.01
39,2021-01-29,143.43
39,2021-02-23,19.01
39,2021-03-26,458.01
39,2021-05-01,67.7
39,2021-05-29,292.49
39,2021-06-30,144.29
39,2021-07-29,281.55
39,2021-09-02,329.2
39,2021-10-02,416.57
39,2021-10-31,111.15
39,2021-12-01,15.39
39,2021-12-24,77.07
39,2022-01-23,451.01
40,2021-01-29,91.48
41,2021-02-04,138.51
41,2021-03-06,301.59
41,2021-04-09,35.2
42,2021-01-31,351.74
42,2021-02-26,155.7
42,2021-03-31,462.95
42,2021-04-28,485.82
42,2021-05-27,472.69
42,2021-07-03,242.36
42,2021-08-05,432.4
42,2021-08-31,423.83
42,2021-10-10,166.36
42,2021-11-18,416.17
43,2021-01-28,436.35
43,2021-02-24,20.42
43,2021-03-28,438.6
44,2021-02-05,183.76
44,2021-03-11,150.75
45,2021-02-12,214.61
46,2021-01-26,439.96
46,2021-02-19,140.14
46,2021-03-19,73.46
46,2021-04-13,445.49
46,2021-05-14,478.27
47,2021-01-31,344.8
48,2021-01-27,62.42
48,2021-03-01,382.9
48,2021-04-03,275.22
48,2021-05-06,481.87
48,2021-05-30,177.52
48,2021-06-22,319.98
48,2021-07-16,466.69
48,2021-08-15,60.23
48,2021-09-16,469.24
48,2021-10-17,347.06
49,2021-02-04,498.59
49,2021-03-03,218.83
49,2021-04-05,231.18
50,2021-01-24,141.81
50,2021-02-22,400.8
50,2021-03-22,162.08
50,2021-04-16,233.06
50,2021-05-14,15.69
50,2021-06-29,45.5
50,2021-08-03,202.32
50,2021-09-06,245.17
50,2021-10-08,304.01
50,2021-10-30,152.91
50,2021-11-28,350.54
50,2021-12-17,431.46
51,2021-01-31,263.68
51,2021-03-03,53.05
52,2021-02-05,61.24
53,2021-02-05,25.02
53,2021-03-08,136.26
53,2021-04-09,236.69
53,2021-04-30,435.45
53,2021-05-24,366.31
53,2021-06-17,373.93
53,2021-07-17,218.49
53,2021-08-11,179.51
54,2021-01-27,485.21
54,2021-02-21,232.36
54,2021-03-27,125.66
54,2021-05-05,46.01
54,2021-06-21,93.18
54,2021-07-21,264.69
54,2021-08-19,175.13
54,2021-09-19,416.15
54,2021-11-04,221.13
54,2021-12-01,131.87
55,2021-02-05,339.98
55,2021-03-02,485.26
55,2021-03-21,56.01
55,2021-04-06,339.58
55,2021-05-16,227.44
55,2021-06-01,435.39
55,2021-07-16,96.8
55,2021-08-17,349.39
55,2021-09-16,420.68
55,2021-10-09,472.86
55,2021-11-11,344.79
56,2021-02-03,332.34
56,2021-03-03,499.71
57,2021-01-28,305.69
57,2021-03-03,337.42
57,2021-04-08,313.55
57,2021-05-06,237.11
57,2021-06-03,196.1
57,2021-07-01,433.03
58,2021-01-31,403.48
58,2021-03-08,274.19
58,2021-04-15,162.54
58,2021-05-12,309.06
58,2021-06-07,360.91
59,2021-02-03,56.81
59,2021-03-05,315.69
59,2021-04-16,231.37
59,2021-05-24,297.44
59,2021-06-25,92.33
59,2021-08-02,371.07
59,2021-09-06,432.77
59,2021-10-05,116.2
60,2021-02-01,51.97
60,2021-02-24,448.15
60,2021-03-25,104.01
60,2021-04-16,168.45
60,2021-05-12,121.06
61,2021-01-31,338.05
62,2021-02-03,158.53
62,2021-02-24,138.93
62,2021-03-23,186.47
62,2021-05-02,52.94
62,2021-06-11,469.11
62,2021-07-11,281.36
62,2021-08-14,159.71
62,2021-09-18,204.52
63,2021-01-29,432.39
63,2021-03-05,462.15
63,2021-03-26,248.66
63,2021-04-28,307.06
63,2021-05-30,384.76
64,2021-01-30,492.0
64,2021-02-28,127.2
64,2021-03-25,79.7
64,2021-04-17,69.48
64,2021-05-16,158.6
64,2021-06-04,59.51
65,2021-01-30,488.18
65,2021-02-28,402.75
65,2021-03-29,480.19
65,2021-05-03,249.05
65,2021-06-02,63.77
65,2021-07-06,278.5
65,2021-07-31,232.64
66,2021-01-29,134.79
66,2021-02-25,422.03
67,2021-01-31,51.55
67,2021-03-02,361.0
68,2021-02-03,58.21
69,2021-01-23,484.56
69,2021-02-24,401.37
70,2021-02-10,221.72
71,2021-02-02,277.06
71,2021-03-13,492.49
71,2021-04-11,469.32
71,2021-05-16,31.16
72,2021-02-04,369.2
72,2021-03-06,311.83
72,2021-04-08,102.13
72,2021-05-12,184.14
72,2021-06-03,394.06
72,2021-06-28,281.57
73,2021-01-30,298.22
73,2021-03-02,245.68
73,2021-04-04,324.74
73,2021-05-02,41.78
74,2021-02-06,38.69
75,2021-01-28,118.1
76,2021-01-23,403.3
76,2021-02-20,234.51
76,2021-03-16,246.65
76,2021-03-28,75.41
76,2021-04-23,49.49
76,2021-06-03,366.69
76,2021-07-10,253.27
77,2021-01-21,248.91
77,2021-02-16,26.47
77,2021-03-14,40.7
77,2021-04-12,454.15
78,2021-02-11,132.97
78,2021-03-09,426.8
78,2021-04-04,285.0
78,2021-05-05,266.46
78,2021-06-06,66.24
78,2021-06-29,431.47
79,2021-02-07,171.81
79,2021-03-07,380.81
79,2021-03-26,264.5
79,2021-04-24,110.39
79,2021-05-19,440.14
80,2021-02-03,390.05
81,2021-02-05,489.76
81,2021-03-07,320.73
81,2021-04-11,71.87
81,2021-05-20,341.33
81,2021-06-12,169.3
81,2021-07-20,346.3
81,2021-08-18,44.12
81,2021-09-20,95.69
81,2021-10-28,429.31
81,2021-11-27,121.32
81,2022-01-02,420.15
81,2022-01-29,146.85
81,2022-02-27,325.01
81,2022-04-04,350.13
81,2022-04-26,261.2
81,2022-05-23,159.6
81,2022-06-24,114.2
81,2022-07-30,26.26
82,2021-02-03,229.06
83,2021-01-27,456.28
84,2021-02-01,452.42
84,2021-02-28,427.61
84,2021-03-27,337.22
85,2021-02-02,455.72
86,2021-02-02,307.47
87,2021-01-31,78.61
87,2021-03-04,145.64
87,2021-04-05,486.05
87,2021-05-03,172.36
88,2021-01-16,305.86
88,2021-02-20,346.43
88,2021-03-20,66.1
88,2021-04-11,198.08
88,2021-05-18,233.56
88,2021-06-13,190.84
88,2021-07-11,69.3
88,2021-08-12,215.28
88,2021-08-30,378.08
89,2021-02-01,79.65
89,2021-03-12,15.74
89,2021-04-15,216.8
89,2021-05-04,154.57
90,2021-02-02,160.09
90,2021-03-03,396.6
91,2021-02-02,326.45
91,2021-03-02,322.08
91,2021-03-29,176.9
92,2021-02-03,25.17
92,2021-03-20,200.11
93,2021-02-13,275.29
93,2021-03-17,85.53
93,2021-04-14,281.32
94,2021-01-20,483.54
95,2021-02-08,260.52
95,2021-03-12,251.24
95,2021-04-12,292.87
95,2021-05-21,434.13
95,2021-06-27,490.56
95,2021-07-20,209.72
95,2021-08-12,415.48
95,2021-09-11,384.62
95,2021-10-09,291.03
95,2021-11-12,478.46
96,2021-02-08,80.0
96,2021-03-13,379.18
96,2021-04-05,386.77
96,2021-05-10,332.68
96,2021-06-22,385.4
96,2021-07-25,424.5
96,2021-08-30,310.67
97,2021-01-23,255.31
97,2021-02-22,399.31
98,2021-01-29,445.44
98,2021-02-28,256.51
98,2021-03-28,230.18
99,2021-02-05,318.48
99,2021-02-28,36.62
99,2021-03-30,376.84
100,2021-01-27,59.93
101,2021-02-09,393.09
101,2021-03-02,325.63
101,2021-03-30,33.61
101,2021-05-03,186.42
101,2021-06-05,478.83
102,2021-02-05,64.64
102,2021-03-14,262.77
102,2021-04-12,141.12
102,2021-05-15,419.39
102,2021-06-07,17.2
102,2021-07-04,195.76
102,2021-08-07,175.3
102,2021-09-02,19.47
103,2021-01-31,450.29
103,2021-02-23,393.77
103,2021-03-30,392.38
103,2021-05-04,234.42
103,2021-06-01,205.02
103,2021-07-07,158.43
104,2021-01-21,200.2
104,2021-02-14,340.32
104,2021-03-21,137.35
104,2021-04-26,179.14
105,2021-01-30,228.32
105,2021-03-01,112.5
105,2021-04-03,34.49
105,2021-05-08,423.39
105,2021-06-06,490.78
106,2021-02-04,14.43
106,2021-03-10,184.94
106,2021-04-12,463.84
106,2021-05-17,122.05
107,2021-02-03,95.86
107,2021-03-03,434.72
107,2021-03-31,148.41
107,2021-05-01,475.72
107,2021-05-27,294.99
107,2021-06-29,223.94
107,2021-08-07,294.24
107,2021-09-01,263.18
108,2021-01-31,470.98
108,2021-02-24,258.39
108,2021-03-21,210.61
109,2021-01-27,72.65
110,2021-01-28,10.72
111,2021-01-25,259.36
111,2021-02-28,190.95
111,2021-04-02,467.13
111,2021-05-05,415.48
111,2021-05-22,351.63
111,2021-06-17,360.02
111,2021-07-09,236.24
112,2021-01-28,395.24
112,2021-03-06,369.88
112,2021-04-05,198.33
113,2021-01-19,433.99
113,2021-02-25,87.06
113,2021-03-28,161.8
114,2021-01-19,160.32
115,2021-01-27,472.78
115,2021-02-23,324.45
116,2021-01-27,485.63
116,2021-02-16,65.52
117,2021-01-26,150.86
118,2021-02-02,295.63
118,2021-02-28,134.02
118,2021-04-01,230.62
118,2021-05-03,479.21
118,2021-05-25,205.53
118,2021-06-19,421.5
118,2021-07-22,102.38
119,2021-01-27,359.89
119,2021-02-28,54.78
120,2021-01-30,312.22
120,2021-03-04,374.01
120,2021-04-09,371.58
120,2021-05-19,265.51
121,2021-02-08,20.74
121,2021-03-09,157.51
121,2021-04-11,256.29
121,2021-05-07,37.53
122,2021-02-06,151.7
123,2021-02-05,257.76
123,2021-03-20,471.15
124,2021-02-03,350.04
124,2021-03-09,122.5
124,2021-04-02,67.6
125,2021-02-08,61.62
126,2021-02-02,220.18
127,2021-02-02,306.76
128,2021-01-26,173.48
128,2021-02-15,397.86
128,2021-03-19,231.13
128,2021-04-19,99.89
128,2021-05-25,428.94
129,2021-01-21,193.98
129,2021-02-10,403.87
130,2021-01-30,334.23
130,2021-03-04,247.15
131,2021-02-05,169.01
131,2021-03-10,142.06
131,2021-04-03,103.55
131,2021-05-07,350.37
131,2021-06-14,117.17
131,2021-07-07,301.7
131,2021-08-02,139.67
131,2021-08-27,334.36
131,2021-10-05,409.32
131,2021-10-25,391.23
131,2021-11-30,382.82
131,2021-12-26,101.98
131,2022-02-05,53.31
132,2021-01-28,56.51
132,2021-02-24,499.46
132,2021-03-22,170.05
133,2021-01-29,420.19
133,2021-02-25,313.57
133,2021-03-29,286.06
134,2021-01-26,19.38
134,2021-03-07,391.76
134,2021-04-11,308.75
134,2021-04-29,352.82
134,2021-06-01,420.7
134,2021-06-25,403.38
134,2021-07-28,480.85
134,2021-08-20,272.61
134,2021-09-13,249.36
134,2021-10-16,206.92
135,2021-01-19,51.44
136,2021-02-08,174.29
136,2021-03-09,42.84
137,2021-01-23,486.81
138,2021-01-27,37.92
138,2021-02-15,215.12
138,2021-03-10,234.63
138,2021-04-02,365.25
138,2021-04-29,291.4
138,2021-05-22,336.93
138,2021-06-14,390.75
138,2021-07-14,432.48
138,2021-08-10,163.8
139,2021-02-04,150.0
139,2021-03-12,464.29
139,2021-04-09,485.26
139,2021-05-13,289.92
139,2021-06-24,80.07
139,2021-07-25,193.53
139,2021-08-19,400.89
139,2021-09-21,190.02
139,2021-10-15,52.64
139,2021-11-08,282.82
140,2021-02-05,126.69
140,2021-02-28,455.13
140,2021-03-21,239.35
140,2021-04-06,238.49
141,2021-02-06,110.18
142,2021-01-30,22.24
143,2021-02-05,341.92
143,2021-02-28,287.23
144,2021-01-27,226.97
144,2021-02-23,137.91
144,2021-04-02,178.26
144,2021-05-05,418.94
144,2021-06-01,468.39
145,2021-01-27,114.1
145,2021-03-02,335.13
145,2021-04-05,211.49
146,2021-01-28,151.09
146,2021-02-19,251.48
147,2021-01-28,415.01
147,2021-03-09,402.48
147,2021-04-06,61.18
148,2021-01-23,35.85
148,2021-02-21,349.09
149,2021-02-06,243.04
149,2021-03-06,209.8
149,2021-03-31,89.0
149,2021-04-30,331.64
149,2021-05-28,485.86
149,2021-06-25,285.47
149,2021-08-04,360.23
149,2021-09-06,43.54
150,2021-02-01,86.84
150,2021-03-09,415.38
150,2021-04-04,30.54
150,2021-05-03,215.4
150,2021-05-23,92.42
151,2021-02-09,195.73
151,2021-03-09,458.38
151,2021-04-11,133.07
151,2021-05-17,423.66
151,2021-06-17,247.17
152,2021-01-29,123.42
152,2021-03-03,435.52
152,2021-03-31,463.97
152,2021-05-02,215.62
152,2021-05-26,34.81
152,2021-06-22,29.3
152,2021-07-16,291.24
152,2021-08-06,202.52
152,2021-09-07,24.04
152,2021-10-26,295.79
153,2021-01-29,218.8
154,2021-01-26,251.34
155,2021-02-04,141.41
156,2021-01-27,496.37
156,2021-02-23,86.54
156,2021-03-20,494.33
156,2021-04-22,488.87
156,2021-05-15,398.97
156,2021-06-17,333.12
157,2021-02-07,434.13
157,2021-03-12,60.39
157,2021-04-16,71.72
157,2021-05-11,489.78
158,2021-01-27,49.98
158,2021-03-01,136.71
158,2021-04-04,23.65
158,2021-04-27,319.37
158,2021-05-24,218.94
158,2021-06-20,278.59
159,2021-01-21,267.48
159,2021-02-17,351.94
159,2021-03-12,451.13
160,2021-01-26,417.44
160,2021-02-26,460.01
160,2021-03-25,328.4
160,2021-04-21,60.68
161,2021-02-01,278.95
161,2021-03-04,196.19
162,2021-01-31,159.81
162,2021-03-03,207.32
163,2021-02-03,149.43
163,2021-03-12,227.09
163,2021-04-13,312.38
164,2021-01-20,176.26
164,2021-02-20,257.91
164,2021-03-28,89.34
164,2021-04-30,332.47
164,2021-06-01,498.9
164,2021-07-02,231.35
164,2021-08-03,183.82
164,2021-09-05,206.35
164,2021-10-14,66.42
164,2021-11-02,442.8
164,2021-11-29,213.26
164,2022-01-02,199.76
164,2022-02-11,333.25
164,2022-03-11,226.6
165,2021-01-31,201.95
165,2021-02-28,89.7
166,2021-01-28,84.21
166,2021-02-17,222.06
166,2021-03-17,301.88
167,2021-02-05,208.66
167,2021-02-28,262.98
167,2021-03-24,294.52
168,2021-01-29,306.14
168,2021-03-08,384.21
168,2021-04-06,266.47
168,2021-05-12,121.12
168,2021-06-16,336.6
168,2021-07-18,49.25
168,2021-08-16,226.5
168,2021-09-17,90.05
168,2021-10-18,100.38
169,2021-02-06,31.59
169,2021-02-25,100.79
169,2021-03-28,275.22
169,2021-05-11,326.33
170,2021-01-27,293.4
170,2021-02-19,417.98
170,2021-03-11,404.04
170,2021-04-12,434.55
170,2021-05-11,39.21
170,2021-06-04,349.1
170,2021-07-06,78.59
170,2021-08-03,213.75
170,2021-08-27,278.81
170,2021-09-27,207.34
170,2021-10-17,264.61
170,2021-11-22,498.3
170,2021-12-16,76.26
170,2022-01-19,340.97
171,2021-01-30,373.71
171,2021-03-02,22.35
171,2021-04-02,183.87
172,2021-02-02,253.16
172,2021-02-28,149.96
172,2021-03-30,369.96
173,2021-01-31,21.06
174,2021-02-09,53.02
174,2021-03-07,94.2
174,2021-04-03,263.86
174,2021-05-02,114.86
175,2021-01-30,123.23
175,2021-02-25,449.72
176,2021-02-04,211.23
177,2021-02-01,162.97
178,2021-01-29,248.23
178,2021-03-06,63.42
178,2021-04-03,131.78
179,2021-01-24,92.74
179,2021-02-26,36.28
179,2021-03-30,361.56
179,2021-04-26,242.98
179,2021-05-23,426.06
179,2021-06-19,197.86
179,2021-07-22,92.46
179,2021-08-17,419.86
180,2021-02-06,491.54
180,2021-03-14,132.49
180,2021-04-11,45.95
180,2021-05-03,334.94
180,2021-06-05,301.73
180,2021-07-01,213.42
180,2021-08-05,216.87
180,2021-09-02,394.68
180,2021-10-01,105.9
180,2021-10-31,411.92
181,2021-01-30,68.98
181,2021-02-17,43.13
181,2021-03-14,364.77
181,2021-04-19,465.12
182,2021-01-23,29.09
182,2021-02-17,201.99
183,2021-02-04,101.69
183,2021-02-25,282.22
183,2021-03-22,152.77
183,2021-04-27,214.52
183,2021-05-22,194.66
184,2021-02-05,70.68
185,2021-02-08,194.91
185,2021-03-06,212.62
185,2021-04-06,29.51
185,2021-04-30,144.25
185,2021-06-04,478.27
185,2021-06-27,477.28
186,2021-01-29,469.65
186,2021-03-02,459.65
187,2021-02-02,348.12
187,2021-02-25,164.89
187,2021-03-24,37.31
187,2021-04-26,308.81
187,2021-05-21,127.99
187,2021-06-14,199.54
187,2021-07-11,49.48
188,2021-01-26,237.87
188,2021-03-05,121.22
188,2021-03-29,374.51
188,2021-04-25,460.41
188,2021-05-29,217.65
188,2021-06-16,177.64
189,2021-02-06,110.93
189,2021-03-15,10.46
189,2021-04-25,29.24
189,2021-05-30,488.87
189,2021-06-17,128.75
189,2021-07-16,335.02
189,2021-08-17,421.16
189,2021-09-17,279.82
189,2021-10-21,85.04
189,2021-12-03,366.78
189,2022-01-10,304.12
189,2022-02-05,368.31
190,2021-01-29,390.63
190,2021-02-25,425.3
191,2021-01-26,485.21
191,2021-02-26,366.54
191,2021-03-27,462.08
191,2021-05-06,383.48
191,2021-05-28,299.94
191,2021-06-28,104.09
191,2021-07-26,336.68
192,2021-02-05,223.76
193,2021-01-31,280.88
193,2021-02-27,372.93
194,2021-01-30,420.36
195,2021-02-06,224.57
196,2021-01-28,189.73
197,2021-02-04,17.85
197,2021-03-16,482.21
197,2021-04-24,194.72
197,2021-05-20,305.57
197,2021-06-20,49.06
198,2021-02-08,169.82
198,2021-03-07,239.59
198,2021-04-10,82.5
198,2021-05-04,492.48
198,2021-05-29,112.46
199,2021-01-30,468.34
199,2021-02-20,378.2
199,2021-03-20,471.25
200,2021-01-26,156.97
200,2021-02-14,242.41
200,2021-03-18,92.33
200,2021-04-15,183.85
200,2021-05-22,205.99
200,2021-06-16,38.12
200,2021-07-14,295.82
200,2021-08-17,443.33
201,2021-02-03,214.41
201,2021-03-05,440.1
201,2021-04-05,109.96
201,2021-05-04,414.97
201,2021-05-25,283.27
201,2021-06-14,36.76
202,2021-02-05,20.7
202,2021-03-01,389.5
202,2021-03-31,75.87
202,2021-04-29,239.18
202,2021-05-17,306.89
202,2021-06-12,219.89
203,2021-01-28,136.24
203,2021-03-13,230.47
203,2021-04-05,349.53
203,2021-05-01,369.25
203,2021-05-22,497.76
203,2021-06-21,150.88
203,2021-07-12,273.73
203,2021-08-22,271.33
203,2021-09-30,208.77
203,2021-11-11,92.89
203,2021-12-25,488.95
204,2021-01-29,370.87
204,2021-02-26,35.31
204,2021-04-02,34.15
204,2021-05-03,199.28
204,2021-05-28,183.2
204,2021-06-23,164.66
204,2021-07-23,250.6
204,2021-08-23,167.16
204,2021-09-23,104.21
204,2021-10-27,161.64
204,2021-11-25,487.7
204,2022-01-07,211.45
204,2022-02-05,227.91
204,2022-03-10,292.51
205,2021-02-04,477.12
205,2021-03-05,45.61
206,2021-01-26,165.28
206,2021-02-20,140.73
206,2021-03-27,257.9
207,2021-01-29,326.74
207,2021-03-05,234.6
207,2021-03-31,269.07
207,2021-04-25,26.84
207,2021-06-03,323.09
207,2021-07-04,49.91
207,2021-07-31,223.16
207,2021-08-31,153.4
207,2021-09-18,277.26
207,2021-10-15,75.37
207,2021-11-11,348.91
207,2021-12-18,399.56
207,2022-01-22,90.04
207,2022-02-27,61.11
208,2021-01-21,136.16
209,2021-01-23,323.16
210,2021-02-02,328.59
211,2021-01-30,344.43
211,2021-03-03,334.49
211,2021-03-31,360.51
212,2021-02-08,100.28
212,2021-02-28,37.93
212,2021-03-26,298.02
212,2021-05-02,421.77
212,2021-05-26,18.57
212,2021-06-24,34.01
212,2021-07-15,290.66
212,2021-08-08,411.55
213,2021-02-01,323.82
213,2021-02-26,163.94
213,2021-03-21,479.41
213,2021-05-04,26.38
213,2021-05-26,294.1
213,2021-06-27,91.59
213,2021-08-02,358.99
213,2021-09-08,96.19
214,2021-02-02,344.88
215,2021-01-27,448.95
216,2021-01-25,80.5
217,2021-01-29,490.18
217,2021-03-03,492.94
217,2021-03-29,346.47
217,2021-05-06,129.37
217,2021-06-08,401.29
218,2021-02-04,141.32
219,2021-02-02,455.69
219,2021-02-27,142.12
219,2021-03-30,411.64
220,2021-01-25,143.14
221,2021-02-06,37.75
222,2021-02-04,322.28
223,2021-02-05,18.17
223,2021-03-05,438.03
223,2021-04-03,125.87
224,2021-02-07,297.43
224,2021-03-02,233.14
225,2021-02-06,125.99
226,2021-01-31,362.16
226,2021-03-02,297.26
226,2021-04-10,251.26
227,2021-02-02,194.15
228,2021-02-10,263.46
229,2021-02-05,211.45
229,2021-03-15,124.82
229,2021-04-12,19.63
229,2021-05-07,440.9
230,2021-02-02,480.58
230,2021-03-01,31.85
230,2021-04-06,80.1
230,2021-05-04,16.87
230,2021-05-29,287.76
230,2021-06-16,466.81
230,2021-07-17,336.31
231,2021-01-31,437.47
231,2021-02-23,310.43
232,2021-01-30,277.99
233,2021-01-27,362.8
234,2021-01-24,353.17
234,2021-02-16,381.85
235,2021-01-31,127.03
235,2021-03-08,475.15
235,2021-04-04,159.5
235,2021-04-29,92.74
235,2021-05-26,235.73
236,2021-02-15,129.3
237,2021-01-28,373.58
238,2021-01-25,106.03
239,2021-01-27,65.69
240,2021-01-21,211.14
241,2021-02-05,40.82
241,2021-03-07,101.8
241,2021-04-07,25.91
242,2021-01-29,316.66
242,2021-02-16,36.71
243,2021-02-01,485.36
244,2021-01-24,206.48
244,2021-02-18,181.85
244,2021-03-18,388.69
244,2021-04-13,403.55
244,2021-05-01,85.17
245,2021-01-23,493.11
246,2021-02-06,175.36
246,2021-03-17,18.86
246,2021-04-20,206.16
246,2021-05-14,279.44
246,2021-06-04,313.6
247,2021-01-28,415.17
247,2021-03-09,285.7
247,2021-04-09,383.47
247,2021-05-07,359.67
248,2021-01-29,142.03
248,2021-02-25,145.99
248,2021-03-24,467.37
248,2021-04-23,364.53
248,2021-05-22,292.82
248,2021-06-21,327.38
248,2021-07-21,24.36
249,2021-01-29,295.25
249,2021-03-01,184.82
249,2021-04-04,90.49
249,2021-05-03,256.82
249,2021-06-04,416.8
249,2021-07-03,335.37
249,2021-08-05,175.8
249,2021-09-13,468.41
249,2021-10-12,456.98
249,2021-10-31,112.58
249,2021-11-29,29.31
250,2021-02-01,377.58
251,2021-01-26,445.41
252,2021-01-29,223.67
252,2021-02-26,86.88
252,2021-03-27,474.31
253,2021-02-05,30.13
253,2021-02-27,180.17
253,2021-03-25,139.96
253,2021-04-24,346.18
253,2021-05-23,474.91
253,2021-06-16,141.34
254,2021-02-06,242.48
254,2021-03-08,14.88
254,2021-03-31,51.54
254,2021-05-02,405.74
254,2021-06-01,388.02
254,2021-06-30,458.42
254,2021-07-27,428.71
254,2021-09-10,344.76
254,2021-10-15,35.64
255,2021-01-26,404.43
255,2021-02-19,483.99
255,2021-03-19,141.61
255,2021-04-14,252.46
255,2021-05-13,52.2
256,2021-02-04,379.92
257,2021-02-03,48.47
257,2021-03-04,441.82
258,2021-01-22,240.64
259,2021-02-04,133.48
260,2021-01-23,59.91
260,2021-03-05,366.96
260,2021-04-09,107.84
261,2021-02-06,230.4
261,2021-03-11,380.61
261,2021-04-08,399.13
261,2021-05-08,252.35
261,2021-06-16,448.43
262,2021-01-25,155.13
262,2021-02-20,290.42
263,2021-01-24,74.54
263,2021-02-28,430.79
264,2021-01-28,192.6
265,2021-02-03,410.8
265,2021-03-01,465.66
265,2021-03-29,277.09
266,2021-01-30,388.41
267,2021-01-30,469.84
267,2021-02-26,93.83
267,2021-04-08,65.49
268,2021-01-30,149.74
268,2021-02-25,398.49
269,2021-02-04,237.53
269,2021-02-22,222.29
269,2021-03-24,401.85
269,2021-04-24,372.34
269,2021-05-22,218.9
269,2021-06-18,173.52
269,2021-07-07,165.07
270,2021-02-03,455.63
270,2021-02-28,104.88
270,2021-03-25,213.98
270,2021-05-04,229.94
270,2021-06-12,303.52
270,2021-07-10,45.15
270,2021-08-03,121.11
271,2021-02-13,158.65
272,2021-01-28,167.63
272,2021-02-21,238.09
272,2021-03-19,472.17
273,2021-02-10,166.83
273,2021-03-20,216.67
274,2021-01-31,94.65
274,2021-02-25,195.89
275,2021-02-02,287.5
275,2021-03-06,384.01
275,2021-04-02,76.89
275,2021-05-02,122.05
275,2021-06-01,442.42
275,2021-07-08,19.86
276,2021-02-03,422.85
276,2021-03-05,187.47
276,2021-04-06,333.63
277,2021-02-04,464.97
277,2021-02-20,294.07
277,2021-04-01,336.85
277,2021-04-28,456.67
277,2021-05-22,179.35
277,2021-06-16,314.54
278,2021-01-26,257.09
278,2021-02-21,434.17
279,2021-02-05,29.63
280,2021-01-27,335.18
281,2021-01-31,256.81
281,2021-03-12,99.49
281,2021-04-07,291.25
281,2021-05-18,322.33
281,2021-06-22,282.79
281,2021-07-15,371.76
281,2021-08-13,174.45
